datatime,external_event
2020-03-23 20:18:08,A
2020-03-23 20:18:09,A
2020-03-23 20:18:10,A
2020-03-23 20:18:11,A
2020-03-23 20:18:12,A
2020-03-23 20:18:13,A
2020-03-23 20:18:14,A
2020-03-23 20:18:15,A
2020-03-23 20:18:16,A
2020-03-23 20:18:17,A
2020-03-23 20:18:18,A
2020-03-23 20:18:19,A
2020-03-30 23:23:31,A
2020-03-30 23:23:32,A
2020-03-30 23:23:33,A
2020-03-30 23:23:34,A
2020-03-30 23:23:35,A
2020-03-30 23:23:36,A
2020-03-30 23:23:37,A
2020-03-30 23:23:38,A
2020-03-30 23:23:39,A
2020-03-30 23:23:40,A
2020-03-30 23:23:41,A
2020-03-30 23:23:42,A
2020-03-30 23:23:43,A
2020-03-30 23:23:44,A
2020-03-30 23:23:45,A
2020-03-30 23:23:46,A
2020-04-02 22:10:55,A
2020-04-02 22:10:56,A
2020-04-02 22:10:57,A
2020-04-02 22:10:58,A
2020-04-02 22:10:59,A
2020-04-02 22:11:00,A
2020-04-02 22:11:01,A
2020-04-02 22:11:02,A
2020-04-02 22:11:03,A
2020-04-02 22:11:04,A
2020-04-02 22:11:05,A
2020-04-02 22:11:06,A
2020-04-02 22:11:07,A
2020-04-02 22:11:08,A
2020-04-02 22:11:09,A
2020-04-02 22:11:10,A
2020-03-27 23:40:37,A
2020-03-27 23:40:38,A
2020-03-27 23:40:39,A
2020-03-27 23:40:40,A
2020-03-27 23:40:41,A
2020-03-27 23:40:42,A
2020-03-27 23:40:43,A
2020-03-27 23:40:44,A
2020-03-27 23:40:45,A
2020-03-27 23:40:46,A
2020-03-27 23:40:47,A
2020-03-27 23:40:48,A
2020-03-27 23:40:49,A
2020-03-27 23:40:50,A
2020-03-27 23:40:51,A
2020-03-27 23:40:52,A
2020-03-23 23:44:16,A
2020-03-23 23:44:17,A
2020-03-23 23:44:18,A
2020-03-23 23:44:19,A
2020-03-23 23:44:20,A
2020-03-23 23:44:21,A
2020-03-23 23:44:22,A
2020-03-23 23:44:23,A
2020-03-23 23:44:24,A
2020-03-23 23:44:25,A
2020-03-23 23:44:26,A
2020-03-23 23:44:27,A
2020-03-23 23:44:28,A
2020-03-23 23:44:29,A
2020-03-23 23:44:30,A
2020-03-23 23:44:31,A
2020-03-26 21:39:54,A
2020-03-26 21:39:55,A
2020-03-26 21:39:56,A
2020-03-26 21:39:57,A
2020-03-26 21:39:58,A
2020-03-26 21:39:59,A
2020-03-26 21:40:00,A
2020-03-26 21:40:01,A
2020-03-26 21:40:02,A
2020-03-26 21:40:03,A
2020-03-26 21:40:04,A
2020-03-26 21:40:05,A
2020-03-26 21:40:06,A
2020-03-26 21:40:07,A
2020-03-26 21:40:08,A
2020-03-26 21:40:09,A
2020-03-24 20:29:09,A
2020-03-24 20:29:10,A
2020-03-24 20:29:11,A
2020-03-24 20:29:12,A
2020-03-24 20:29:13,A
2020-03-24 20:29:14,A
2020-03-24 20:29:15,A
2020-03-24 20:29:16,A
2020-03-24 20:29:17,A
2020-03-24 20:29:18,A
2020-03-24 20:29:19,A
2020-03-24 20:29:20,A
2020-03-24 20:29:21,A
